,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,271.0864864864865,217.54594594594596,52.49189189189189,0.9513513513513514,0.0918918918918919,0.005405405405405406,0.0,97.21081081081081,54.935135135135134,38.178378378378376,0.005405405405405406,0.24324324324324326,154.63783783783785,114.04864864864865,2.151351351351351
Alaska,273.16470588235296,234.49411764705883,31.67058823529412,3.764705882352941,3.0823529411764707,0.10588235294117647,0.047058823529411764,103.74117647058823,49.1764705882353,21.0,1.1411764705882352,0.9058823529411765,72.65882352941176,162.8470588235294,35.61176470588235
Arizona,350.04895104895104,231.0979020979021,104.51748251748252,10.909090909090908,1.8531468531468531,1.3006993006993006,0.3706293706293706,186.4825174825175,71.56643356643356,44.17482517482517,0.02097902097902098,1.4265734265734267,205.53146853146853,33.77622377622377,109.2937062937063
Arkansas,237.5748031496063,196.25984251968504,40.51968503937008,0.7480314960629921,0.047244094488188976,0.0,0.0,90.18110236220473,55.23622047244095,36.24409448818898,0.0,2.2755905511811023,138.66929133858267,96.55905511811024,0.07086614173228346
California,341.0324786324786,203.45470085470086,109.43589743589743,20.683760683760685,6.374358974358974,0.6427350427350428,0.441025641025641,259.5367521367521,84.45470085470086,47.69401709401709,0.1282051282051282,4.116239316239316,206.17094017094018,116.13675213675214,14.48034188034188
Colorado,289.4498480243161,213.27659574468086,69.90577507598785,5.762917933130699,0.46200607902735563,0.0364741641337386,0.0060790273556231,118.69300911854103,60.64437689969605,37.00303951367781,0.06990881458966565,7.364741641337386,205.54103343465044,25.49544072948328,50.97872340425532
Connecticut,306.1136363636364,241.2840909090909,56.63636363636363,6.954545454545454,1.2386363636363635,0.0,0.0,142.79545454545453,64.25,40.20454545454545,0.2159090909090909,7.181818181818182,210.3068181818182,88.10227272727273,0.3068181818181818
Country Of Mexico,239.25,140.85,73.65,16.8,6.9,0.55,0.5,208.4,99.0,52.95,12.5,5.55,119.55,69.75,31.9
Delaware,336.030303030303,254.87878787878788,76.72727272727273,4.03030303030303,0.3939393939393939,0.0,0.0,121.72727272727273,63.03030303030303,41.36363636363637,0.030303030303030304,2.242424242424242,232.0,101.75757575757575,0.0
District Of Columbia,351.45454545454544,214.36363636363637,130.45454545454547,5.909090909090909,0.7272727272727273,0.0,0.0,142.27272727272728,69.45454545454545,46.45454545454545,0.09090909090909091,27.636363636363637,166.72727272727272,157.0,0.0
Florida,337.57882352941175,295.5952941176471,41.31294117647059,0.6211764705882353,0.047058823529411764,0.002352941176470588,0.0,97.08235294117647,51.59529411764706,36.35764705882353,0.10352941176470588,0.7411764705882353,223.09176470588235,103.98588235294118,9.656470588235294
Georgia,285.15223880597017,223.06268656716418,60.59701492537314,1.3402985074626865,0.14328358208955225,0.005970149253731343,0.0029850746268656717,106.46567164179105,56.17910447761194,37.9134328358209,0.03283582089552239,2.9134328358208954,119.87164179104478,162.0597014925373,0.2746268656716418
Hawaii,343.95454545454544,296.1136363636364,47.13636363636363,0.5681818181818182,0.13636363636363635,0.0,0.0,81.36363636363636,40.88636363636363,26.681818181818183,0.6363636363636364,20.40909090909091,58.59090909090909,262.25,2.0681818181818183
Idaho,315.6443298969072,260.10309278350513,49.03092783505155,4.43298969072165,1.7371134020618557,0.30412371134020616,0.03608247422680412,145.19072164948454,55.70618556701031,25.922680412371133,0.11855670103092783,1.6237113402061856,40.22680412371134,252.0,21.675257731958762
Illinois,323.5177865612648,252.21343873517787,67.73913043478261,3.268774703557312,0.2885375494071146,0.007905138339920948,0.0,115.25296442687747,60.56126482213439,40.07905138339921,0.04743083003952569,5.280632411067193,223.06324110671937,94.1304347826087,0.9960474308300395
Indiana,288.0200501253133,223.04010025062658,62.473684210526315,2.3483709273182956,0.14035087719298245,0.017543859649122806,0.0,108.57393483709274,59.744360902255636,39.24561403508772,0.11779448621553884,1.5162907268170427,173.4110275689223,111.99749373433583,0.9774436090225563
Iowa,278.6735751295337,210.98445595854923,66.78238341968913,0.8497409326424871,0.05699481865284974,0.0,0.0,96.74611398963731,56.7720207253886,37.37823834196891,0.0051813471502590676,0.6580310880829016,94.55958549222798,163.69948186528498,19.751295336787564
Kansas,303.672,255.04,46.288,2.16,0.16,0.008,0.016,110.936,53.024,33.08,0.056,2.976,186.848,62.152,51.64
Kentucky,292.7913907284768,241.16225165562915,49.8046357615894,1.6456953642384107,0.16556291390728478,0.013245033112582781,0.0,100.86423841059603,56.258278145695364,39.28145695364238,0.11589403973509933,2.771523178807947,198.39072847682118,90.36092715231788,1.1523178807947019
Louisiana,321.6487603305785,263.3429752066116,56.72727272727273,1.512396694214876,0.06611570247933884,0.0,0.0,105.34297520661157,55.429752066115704,36.752066115702476,0.045454545454545456,4.43801652892562,204.76859504132233,111.8099173553719,0.5867768595041323
Maine,307.85593220338984,283.43220338983053,23.559322033898304,0.7966101694915254,0.06779661016949153,0.0,0.0,102.69491525423729,48.19491525423729,33.847457627118644,0.07627118644067797,7.228813559322034,226.22881355932202,71.95762711864407,2.364406779661017
Maryland,309.45402298850576,241.3448275862069,64.25862068965517,3.4885057471264367,0.3333333333333333,0.028735632183908046,0.0,118.33908045977012,62.53448275862069,40.97701149425287,0.14942528735632185,11.362068965517242,204.367816091954,92.86206896551724,0.7126436781609196
Massachusetts,339.78014184397165,290.86524822695037,46.829787234042556,1.9716312056737588,0.11347517730496454,0.0,0.0,112.26241134751773,53.3758865248227,37.326241134751776,0.028368794326241134,6.631205673758865,231.0,101.99290780141844,0.1276595744680851
Michigan,269.64144736842104,218.54276315789474,46.9078947368421,3.8914473684210527,0.27960526315789475,0.019736842105263157,0.0,118.31907894736842,60.48026315789474,37.078947368421055,0.023026315789473683,1.319078947368421,182.3421052631579,84.1217105263158,1.8355263157894737
Minnesota,307.1762114537445,267.9251101321586,38.39647577092511,0.6696035242290749,0.16740088105726872,0.01762114537444934,0.0,100.87665198237886,50.409691629955944,31.66079295154185,0.11894273127753303,5.466960352422907,135.0352422907489,156.3876651982379,10.167400881057269
Mississippi,307.3304347826087,256.0,50.48695652173913,0.808695652173913,0.034782608695652174,0.0,0.0,94.13913043478261,53.96521739130435,37.44347826086957,0.008695652173913044,5.208695652173913,167.55652173913043,134.55652173913043,0.0
Missouri,281.2532751091703,222.64192139737992,55.56768558951965,2.7903930131004366,0.25327510917030566,0.0,0.0,107.01310043668123,60.004366812227076,39.23144104803494,0.008733624454148471,4.358078602620087,169.2183406113537,91.99126637554585,15.676855895196507
Montana,298.26341463414633,247.43414634146342,45.297560975609755,3.629268292682927,1.6243902439024391,0.17560975609756097,0.1024390243902439,129.72682926829268,53.770731707317076,28.37560975609756,0.12682926829268293,1.0439024390243903,102.62439024390244,175.70243902439023,18.765853658536585
Nebraska,232.36697247706422,203.12844036697248,28.55045871559633,0.6697247706422018,0.01834862385321101,0.0,0.0,86.36697247706422,47.27522935779817,27.201834862385322,0.25688073394495414,0.0,76.34862385321101,115.01834862385321,40.74311926605505
Nevada,321.1188118811881,241.8019801980198,71.44554455445545,5.821782178217822,1.4851485148514851,0.27722772277227725,0.2871287128712871,162.26732673267327,62.51485148514851,37.26732673267327,0.9405940594059405,2.8217821782178216,182.9108910891089,60.23762376237624,74.20792079207921
New Hampshire,321.5844155844156,287.012987012987,33.493506493506494,1.051948051948052,0.025974025974025976,0.0,0.0,99.37662337662337,51.1948051948052,36.857142857142854,0.06493506493506493,0.0,262.24675324675326,59.25974025974026,0.012987012987012988
New Jersey,335.4375,265.4488636363636,65.875,3.840909090909091,0.2727272727272727,0.0,0.0,123.39204545454545,60.51136363636363,39.03409090909091,0.1590909090909091,28.289772727272727,205.3806818181818,101.4090909090909,0.19886363636363635
New Mexico,278.01704545454544,209.5909090909091,64.20454545454545,3.5625,0.3693181818181818,0.09090909090909091,0.19886363636363635,144.64772727272728,54.09090909090909,32.84659090909091,0.005681818181818182,2.034090909090909,183.2215909090909,65.13068181818181,27.625
New York,343.9778481012658,301.376582278481,40.33860759493671,2.1455696202531644,0.11392405063291139,0.0031645569620253164,0.0,107.95886075949367,52.14556962025316,35.00316455696203,0.24367088607594936,7.968354430379747,245.3639240506329,90.39556962025317,0.006329113924050633
North Carolina,288.8283062645012,241.12064965197214,46.911832946635734,0.703016241299304,0.08816705336426914,0.004640371229698376,0.0,95.06960556844548,54.8584686774942,38.23201856148492,0.013921113689095127,0.7424593967517401,176.87470997679813,108.5614849187935,2.6357308584686776
North Dakota,351.7980769230769,319.88461538461536,29.903846153846153,1.4134615384615385,0.5865384615384616,0.009615384615384616,0.0,107.46153846153847,49.92307692307692,34.18269230769231,0.07692307692307693,2.355769230769231,266.9423076923077,66.83653846153847,15.586538461538462
Ohio,297.06526806526807,228.64568764568764,65.36130536130536,2.86013986013986,0.19114219114219114,0.006993006993006993,0.0,110.75990675990676,59.214452214452216,38.58974358974359,2.7599067599067597,5.519813519813519,168.8158508158508,111.26573426573427,8.703962703962704
Oklahoma,307.6072874493927,242.32793522267207,62.23886639676113,2.8461538461538463,0.1902834008097166,0.004048582995951417,0.0,110.08097165991903,59.22672064777328,38.506072874493924,0.024291497975708502,4.412955465587045,204.0931174089069,82.13765182186235,16.939271255060728
Oregon,332.1607843137255,273.3333333333333,52.27058823529412,3.5647058823529414,2.2745098039215685,0.33725490196078434,0.3803921568627451,164.48627450980393,59.74901960784314,27.623529411764707,0.01568627450980392,1.2941176470588236,50.83921568627451,279.28627450980395,0.7254901960784313
Pennsylvania,344.6264775413712,260.30260047281325,80.86052009456264,3.2836879432624113,0.1773049645390071,0.002364066193853428,0.0,114.45862884160756,60.62647754137116,40.28132387706856,0.10401891252955082,3.8912529550827424,211.00236406619385,127.5933806146572,2.0354609929078014
Puerto Rico,212.53508771929825,192.91228070175438,18.54385964912281,0.7719298245614035,0.20175438596491227,0.07894736842105263,0.02631578947368421,93.42105263157895,42.01754385964912,20.30701754385965,42.42982456140351,13.324561403508772,35.46491228070175,64.64912280701755,56.666666666666664
Rhode Island,345.5151515151515,295.030303030303,46.484848484848484,3.696969696969697,0.30303030303030304,0.0,0.0,135.96969696969697,54.06060606060606,36.81818181818182,0.030303030303030304,7.363636363636363,200.57575757575756,137.36363636363637,0.18181818181818182
South Carolina,283.85492227979273,244.34715025906735,38.98963730569948,0.44559585492227977,0.07253886010362694,0.0,0.0,90.81347150259067,51.72538860103627,36.23834196891192,0.05699481865284974,1.5751295336787565,161.6580310880829,106.74093264248705,13.823834196891191
South Dakota,327.14953271028037,284.23364485981307,41.700934579439256,1.0,0.16822429906542055,0.037383177570093455,0.009345794392523364,109.72897196261682,51.504672897196265,33.18691588785047,0.028037383177570093,4.130841121495327,180.07476635514018,104.55140186915888,38.36448598130841
Tennessee,285.56976744186045,237.43798449612405,46.6937984496124,1.2790697674418605,0.14728682170542637,0.011627906976744186,0.0,98.24031007751938,55.542635658914726,36.531007751937985,0.09302325581395349,4.655038759689923,152.25193798449612,121.9108527131783,6.658914728682171
Texas,334.49256900212316,265.15498938428874,64.91932059447983,3.970276008492569,0.4118895966029724,0.03184713375796178,0.004246284501061571,120.95329087048832,60.12738853503185,37.49044585987261,0.059447983014861996,7.292993630573249,202.1104033970276,124.31422505307856,0.7154989384288747
Utah,332.6770186335404,230.7888198757764,92.77018633540372,7.739130434782608,1.1987577639751552,0.18012422360248448,0.0,127.54037267080746,69.82608695652173,42.70807453416149,0.037267080745341616,13.819875776397515,262.62111801242236,54.546583850931675,1.6521739130434783
Vermont,293.90697674418607,260.74418604651163,32.651162790697676,0.5116279069767442,0.0,0.0,0.0,86.23255813953489,46.372093023255815,30.0,0.23255813953488372,4.534883720930233,175.5581395348837,113.53488372093024,0.046511627906976744
Virgin Islands,80.21739130434783,69.17391304347827,11.0,0.043478260869565216,0.0,0.0,0.0,75.91304347826087,53.08695652173913,23.82608695652174,0.0,0.0,0.0,77.52173913043478,2.6956521739130435
Virginia,253.20810810810812,227.3108108108108,25.191891891891892,0.654054054054054,0.04864864864864865,0.002702702702702703,0.0,81.53783783783784,45.9,31.164864864864864,2.056756756756757,31.037837837837838,147.46756756756756,64.4054054054054,8.240540540540541
Washington,336.4451219512195,291.5243902439024,40.46036585365854,2.323170731707317,1.6371951219512195,0.3353658536585366,0.16463414634146342,146.765243902439,50.8140243902439,25.420731707317074,0.051829268292682924,2.533536585365854,45.896341463414636,280.6128048780488,7.350609756097561
West Virginia,260.17088607594934,223.21518987341773,36.24050632911393,0.6962025316455697,0.0189873417721519,0.0,0.0,91.0886075949367,53.75316455696203,35.462025316455694,1.3670886075949367,0.0,155.5506329113924,79.83544303797468,23.417721518987342
Wisconsin,281.6601941747573,233.03236245954693,45.4789644012945,2.8155339805825244,0.3300970873786408,0.003236245954692557,0.0,113.58899676375404,58.66990291262136,37.045307443365694,0.006472491909385114,0.5436893203883495,189.13915857605178,90.40776699029126,1.5631067961165048
Wyoming,313.695,257.945,53.67,1.71,0.285,0.025,0.06,126.28,54.51,36.71,0.04,7.135,236.82,20.035,49.665
